concept_id,subject,subject_concept
1,국어,듣기･말하기의 본질
2,국어,"목적에 따른 담화의 유형(정보 전달, 설득, 친교･정서 표현)"
3,국어,듣기･말하기와 매체
4,국어,듣기･말하기의 구성 요소(화자･청자･맥락)
5,국어,듣기･말하기의 과정
6,국어,"듣기･말하기의 전략(표현 전략, 상위 인지 전략)"
7,국어,"듣기･말하기의 태도(듣기･말하기의 윤리, 공감적 소통의 생활화)"
8,국어,읽기의 본질
9,국어,"목적에 따른 글의 유형(정보 전달, 설득, 친교･정서 표현)"
10,국어,읽기와 매체
11,국어,읽기의 구성 요소(독자･글･맥락)
12,국어,읽기의 과정
13,국어,"읽기의 방법(사실적 이해, 추론적 이해, 창의적 이해, 읽기 과정의 점검)"
14,국어,"읽기의 태도(읽기 흥미, 읽기의 생활화)"
15,국어,쓰기의 본질
16,국어,"목적에 따른 글의 유형(정보 전달, 설득, 친교･정서 표현)"
17,국어,쓰기와 매체
18,국어,쓰기의 구성 요소(필자･글･맥락)
19,국어,쓰기의 과정
20,국어,"쓰기의 전략(과정별 전략, 상위 인지 전략)"
21,국어,"쓰기의 태도(쓰기 흥미, 쓰기 윤리, 쓰기의 생활화)"
22,국어,국어의 본질
23,국어,"국어 구조의 탐구와 활용(음운, 단어, 문장, 담화)"
24,국어,"국어 규범과 국어생활(발음과 표기, 어휘 사용, 문장･담화의 사용)"
25,국어,"국어에 대한 태도(국어 사랑, 국어 의식)"
26,국어,문학의 본질
27,국어,"문학의 갈래와 역사(서정, 서사, 극, 교술)"
28,국어,문학과 매체
29,국어,"문학의 수용과 생산(작품의 내용･형식･표현, 작품의 맥락, 작가와 독자)"
30,국어,"문학에 대한 태도(자아 성찰, 타자의 이해와 소통, 문학의 생활화)"
